,Status,Address,City,Price,Property Type,Sub-Type,Building Size,Link,Year Built,Lot Size,Building Class,Cap Rate
1773,For Sale,"908-910 5th Ave SE, Olympia, WA","Olympia, Washington","$899,000",Office,Office,"6,825 SF",https://www.loopnet.com/Listing/908-910-5th-Ave-SE-Olympia-WA/21479427/,,,C,
1774,For Sale,"17 N 3rd St, Yakima, WA","Yakima, Washington","$259,500 - $490,000",Office,Loft/Creative Space,N/A,https://www.loopnet.com/Listing/17-N-3rd-St-Yakima-WA/15940158/,,,B,
1799,For Sale,"James Burr Blvd, Kearneysville, WV","Kearneysville, West Virginia","$145,000",Land,Commercial,,https://www.loopnet.com/Listing/James-Burr-Blvd-Kearneysville-WV/23730123/,,"96,268 SF",,
1800,For Sale,"James Burr Blvd, Charles Town, WV","Charles Town, West Virginia","$379,000",Land,Commercial,,https://www.loopnet.com/Listing/James-Burr-Blvd-Charles-Town-WV/23721661/,,"226,948 SF",,
1801,For Sale,"James Burr Blvd, Kearneysville, WV","Kearneysville, West Virginia","$524,000",Land,Commercial,,https://www.loopnet.com/Listing/James-Burr-Blvd-Kearneysville-WV/23721658/,,"238,273 SF",,
1802,For Sale,"10 James Burr Blvd, Kearneysville, WV","Kearneysville, West Virginia","$419,000",Land,Commercial,,https://www.loopnet.com/Listing/10-James-Burr-Blvd-Kearneysville-WV/23721653/,,"238,273 SF",,
1803,For Sale,"James Burr Blvd, Kearneysville, WV","Kearneysville, West Virginia","$369,000",Land,Commercial,,https://www.loopnet.com/Listing/James-Burr-Blvd-Kearneysville-WV/23721647/,,"184,694 SF",,
1804,For Sale,"James Burr Blvd, Charles Town, WV","Charles Town, West Virginia","$139,000",Land,Commercial,,https://www.loopnet.com/Listing/James-Burr-Blvd-Charles-Town-WV/23721644/,,"205,603 SF",,
1805,For Sale,"James Burr Blvd, Charles Town, WV","Charles Town, West Virginia","$84,000",Land,Commercial,,https://www.loopnet.com/Listing/James-Burr-Blvd-Charles-Town-WV/23721638/,,"66,647 SF",,
1806,For Sale,"James Burr Blvd, Charles Town, WV","Charles Town, West Virginia","$121,000",Land,Commercial,,https://www.loopnet.com/Listing/James-Burr-Blvd-Charles-Town-WV/23721631/,,"123,275 SF",,
1807,For Sale,"James Burr Blvd, Charles Town, WV","Charles Town, West Virginia","$121,000",Land,Commercial,,https://www.loopnet.com/Listing/James-Burr-Blvd-Charles-Town-WV/23721625/,,"85,378 SF",,
1808,For Sale,"James Burr Blvd, Charles Town, WV","Charles Town, West Virginia","$199,000",Land,Commercial,,https://www.loopnet.com/Listing/James-Burr-Blvd-Charles-Town-WV/23721574/,,"231,304 SF",,
1809,For Sale,"James Burr Blvd, Charles Town, WV","Charles Town, West Virginia","$132,000",Land,Commercial,,https://www.loopnet.com/Listing/James-Burr-Blvd-Charles-Town-WV/23721570/,,"130,680 SF",,
1810,For Sale,"James Burr Blvd, Charles Town, WV","Charles Town, West Virginia","$121,000",Land,Commercial,,https://www.loopnet.com/Listing/James-Burr-Blvd-Charles-Town-WV/23721559/,,"80,586 SF",,
1811,For Sale,"James Burr Blvd, Charles Town, WV","Charles Town, West Virginia","$119,000",Land,Commercial,,https://www.loopnet.com/Listing/James-Burr-Blvd-Charles-Town-WV/23721557/,,"120,661 SF",,
1812,For Sale,"James Burr Blvd, Charles Town, WV","Charles Town, West Virginia","$289,000",Land,Commercial,,https://www.loopnet.com/Listing/James-Burr-Blvd-Charles-Town-WV/23721544/,,"253,519 SF",,
1869,For Sale,"120 Bishops Way, Brookfield, WI","Brookfield, Wisconsin","$3,000,000",Office,Office,"52,000 SF",https://www.loopnet.com/Listing/120-Bishops-Way-Brookfield-WI/23476984/,,,B,
1870,For Sale,"4000 State Road 16, La Crosse, WI","La Crosse, Wisconsin","$14,652,710",Retail,Retail,"41,212 SF",https://www.loopnet.com/Listing/4000-State-Road-16-La-Crosse-WI/23133080/,,,,5.75%
1871,For Sale,"1333 4th Ave S, Park Falls, WI","Park Falls, Wisconsin","$549,000",Retail,Freestanding,"41,300 SF",https://www.loopnet.com/Listing/1333-4th-Ave-S-Park-Falls-WI/18152503/,,,C,
1872,For Sale,"302 High St, Wrightstown, WI","Wrightstown, Wisconsin","$80,000",Land,Commercial,,https://www.loopnet.com/Listing/302-High-St-Wrightstown-WI/17694202/,,"314,068 SF",,
1873,For Sale,"Enterprise Dr, Mount Pleasant, WI","Mount Pleasant, Wisconsin","$1,000,000",Land,Residential,,https://www.loopnet.com/Listing/Enterprise-Dr-Mount-Pleasant-WI/17303367/,,"604,177 SF",,
1874,For Sale,"5079 US Highway 53, Eau Claire, WI","Eau Claire, Wisconsin","$525,000",Land,Commercial,,https://www.loopnet.com/Listing/5079-US-Highway-53-Eau-Claire-WI/17251215/,,"100,624 SF",,
